,Block Name,Point ID,CoordinateX,CoordinateY,CoordinateZ,Magnitude_Velocity_Dataset_V_MAG_N_1_1_0,Magnitude_Vorticity_Dataset_VORTICITY_MAG_N_1_1_0,Points_0,Points_1,Points_2,Points_Magnitude,Result_0,Result_1,Result_2,Result_Magnitude,X_Component_Velocity_Dataset_V_X_N_1_1_0,Y_Component_Velocity_Dataset_V_Y_N_1_1_0,Z_Component_Velocity_Dataset_V_Z_N_1_1_0,Vortex
4168,x_plane_Step_1_Incr_0,2580,3.14159,5.48532,4.48799,0.274457,2.62999,3.14159,5.48532,4.48799,7.75245,1.0283e-07,-0.134844,-0.192152,0.234745,1.0283e-07,-0.134844,-0.192152,0.0
4169,x_plane_Step_1_Incr_0,2581,3.14159,5.58505,4.38826,0.277804,3.94651,3.14159,5.58505,4.38826,7.76655,9.40582e-08,0.148168,-0.13896,0.203134,9.40582e-08,0.148168,-0.13896,1.0
4175,x_plane_Step_1_Incr_0,2582,3.14159,5.68479,4.28852,0.455014,3.34413,3.14159,5.68479,4.28852,7.78318,8.63003e-08,0.444657,-0.0405763,0.446505,8.63003e-08,0.444657,-0.0405763,1.0
4181,x_plane_Step_1_Incr_0,2583,3.14159,5.78452,4.18879,0.607522,1.81806,3.14159,5.78452,4.18879,7.80232,8.02803e-08,0.595793,0.088158,0.60228,8.02803e-08,0.595793,0.088158,1.0
4187,x_plane_Step_1_Incr_0,2584,3.14159,5.88425,4.08906,0.612988,0.665917,3.14159,5.88425,4.08906,7.82397,7.16108e-08,0.574269,0.198973,0.607762,7.16108e-08,0.574269,0.198973,0.0
4188,x_plane_Step_1_Incr_0,2585,3.14159,5.98399,3.98932,0.52598,0.241176,3.14159,5.98399,3.98932,7.84808,6.80559e-08,0.454642,0.252716,0.520159,6.80559e-08,0.454642,0.252716,0.0
4189,x_plane_Step_1_Incr_0,2586,3.14159,0.598399,4.38826,0.247253,4.20611,3.14159,0.598399,4.38826,5.42996,9.88049e-08,-0.115587,-0.106466,0.157148,9.88049e-08,-0.115587,-0.106466,1.0
4195,x_plane_Step_1_Incr_0,2587,3.14159,0.498666,4.38826,0.207239,4.45513,3.14159,0.498666,4.38826,5.41988,9.35266e-08,-0.105389,-0.0354459,0.11119,9.35266e-08,-0.105389,-0.0354459,1.0
4201,x_plane_Step_1_Incr_0,2588,3.14159,0.698132,4.48799,0.297844,2.56288,3.14159,0.698132,4.48799,5.52259,1.13821e-07,0.179899,-0.206761,0.274069,1.13821e-07,0.179899,-0.206761,0.0
4202,x_plane_Step_1_Incr_0,2589,3.14159,0.797865,4.58772,0.43984,0.804117,3.14159,0.797865,4.58772,5.61724,1.32769e-07,0.32495,-0.279993,0.428939,1.32769e-07,0.32495,-0.279993,0.0
